timestamp,closed_trade_count,gross_pnl,counterfactual_fee,counterfactual_net_pnl,net_return
2026-06-27,0,0,0,0,0
2026-06-28,0,0,0,0,0
2026-06-29,5,-9.380810004900000268,2.379305752499999880,-11.760115757400000148,-0.011760115757400000148
2026-06-30,0,0,0,0,0
2026-07-01,8,3.527889995300000737,2.952480343500000255,0.575409651800000482,0.000575409651800000482
2026-07-02,0,0,0,0,0
2026-07-03,0,0,0,0,0
2026-07-04,0,0,0,0,0
2026-07-05,1,1.5338700015,0.2315783175,1.3022916840,0.001302291684
2026-07-06,2,-2.309898985199999933,0.635986560000000015,-2.945885545199999948,-0.002945885545199999948
2026-07-07,4,-8.630249990299999933,1.617428443500000015,-10.247678433799999948,-0.010247678433799999948
2026-07-08,3,8.1932897412,0.6451691040,7.5481206372,0.0075481206372
2026-07-09,6,2.866679999200000000,2.083455635999999970,0.783224363200000030,0.00078322436320000003
2026-07-10,3,-1.908760000799999866,1.109050434000000030,-3.017810434799999896,-0.003017810434799999896
2026-07-11,7,-2.614779557700000000,2.029592551500000030,-4.644372109200000030,-0.00464437210920000003
2026-07-12,5,5.571429996700000067,1.992460471500000015,3.578969525200000052,0.003578969525200000052
2026-07-13,5,-1.802621580499999799,1.467055003500000105,-3.269676583999999904,-0.003269676583999999904
2026-07-14,2,0.782600004000000067,0.440148630000000015,0.342451374000000052,0.000342451374000000052
2026-07-15,2,1.9151499959,0.4611506655,1.4539993304,0.0014539993304
2026-07-16,1,3.017700001000000000,0.240101145000000000,2.777598856000000000,0.002777598856000000
2026-07-17,4,8.045499997399999799,0.896885282999999955,7.148614714399999844,0.007148614714399999844
2026-07-18,2,-2.4938000016,0.4621805280,-2.9559805296,-0.0029559805296
2026-07-19,2,-3.262482456000000067,0.545518979999999985,-3.808001436000000052,-0.003808001436000000052
2026-07-20,1,-1.524599997999999933,0.214460190000000015,-1.739060187999999948,-0.001739060187999999948
2026-07-21,0,0,0,0,0
2026-07-22,0,0,0,0,0
2026-07-23,0,0,0,0,0
2026-07-24,3,-0.0543199960,0.6785923800,-0.7329123760,-0.000732912376
2026-07-25,0,0,0,0,0
2026-07-26,1,2.881000004000000067,0.229909830000000015,2.651090174000000052,0.002651090174000000052
2026-07-27,5,4.999860693999999732,1.321176899999999910,3.678683793999999822,0.003678683793999999822
2026-07-28,1,-1.657868568,0.243562140,-1.901430708,-0.001901430708
2026-07-29,3,-3.770499999000000134,0.618405044999999970,-4.388905044000000104,-0.004388905044000000104
2026-07-30,2,-9.4523200070,0.9499776180,-10.4022976250,-0.010402297625
2026-07-31,1,-3.2294999962,0.2106861210,-3.4401861172,-0.0034401861172
2026-08-01,0,0,0,0,0
2026-08-02,0,0,0,0,0
2026-08-03,0,0,0,0,0
2026-08-04,0,0,0,0,0
2026-08-05,2,2.372290004099999866,0.503304034499999970,1.868985969599999896,0.001868985969599999896
2026-08-06,2,-3.244730005700000134,0.550958443499999970,-3.795688449200000104,-0.003795688449200000104
2026-08-07,1,-1.117600004000000067,0.251467919999999985,-1.369067924000000052,-0.001369067924000000052
2026-08-08,0,0,0,0,0
2026-08-09,1,-1.264359087699999933,0.223434403500000015,-1.487793491199999948,-0.001487793491199999948
